LINE,ACCESSION,TREATMENT,DAY,PERIMETER,AREA,ROUNDNESS,COMPACTNESS, ECCENTRICITY,RMS,SOL,Fo,Fm,Fm_Lss1,Fm_Lss2,Fm_Lss3,Fm_Lss4,Ft_Lss1,Ft_Lss2,Ft_Lss3,Ft_Lss4,Fo_Lss1,Fo_Lss2,Fo_Lss3,Fo_Lss4,QY_max,FvFm_Lss1, FvFm_Lss2, FvFm_Lss3,FvFm_Lss4, QY_Lss1,QY_Lss2, QY_Lss3, QY_Lss4, NPQ_Lss1, NPQ_Lss2,  NPQ_Lss3, NPQ_Lss4,qN_Lss1, qN_Lss2,qN_Lss3,qN_Lss4,qP_Lss1,qP_Lss2,qP_Lss3,qP_Lss4,qL_Lss1,qL_Lss2,qL_Lss3,qL_Lss4,ETR1,ETR2,ETR3,ETR4
id22,Col0,Control,0,173.4606506,134.592,0.056211758,0.30245937,0.415878096,0.808220523,30.73780314,34.25257111,207.2304688,98.63206482,81.34253693,83.42888641,87.46475983,61.56571579,54.56457138,55.0748558,57.58228683,28.9281559,27.2160778,27.40781975,27.85160446,0.833795011,0.705878615,0.664448023,0.668642044,0.678512096,0.380271047,0.332548887,0.341292262,0.343235016,1.099204898,1.54849577,1.50153923,1.388878465,0.60394156,0.694501042,0.685280442,0.666480958,0.539174974,0.499999762,0.51038748,0.50637567,1.112464428,0.979866087,1.007309198,1.028760433,19.98377419,32.61785889,49.01550293,64.9230423
id23,Nd,Control,0,109.0030582,107.1104,0.113282843,0.410175972,0.295160191,0.571126781,15.29851816,40.46896744,233.7360229,117.5766296,101.1310349,104.3065109,100.68927,60.34620667,59.97517395,63.53792953,65.63379669,34.51298523,32.90615463,33.20907974,32.87174606,0.826351941,0.704880238,0.672139704,0.678060353,0.672089517,0.483439207,0.404258728,0.389221072,0.350743234,0.996645927,1.328411222,1.268150449,1.328367949,0.582690537,0.660206199,0.646033943,0.660621345,0.685371637,0.600827873,0.573753476,0.521906674,1.19731617,1.088652134,1.087474704,1.027689457,25.40540695,39.651474,55.89891815,66.3432312
id24,Cvi,Control,0,73.19131824,52.608,0.123407774,0.368576809,0.280520008,0.713828798,7.725547445,38.14749908,220.4243011,103.3430557,95.35902405,96.20694733,87.11736298,55.71125031,54.66999817,58.29124832,57.12125015,31.75307465,30.73215485,30.80938721,29.89626122,0.827214777,0.691961348,0.672191203,0.673223734,0.650932968,0.458872706,0.422451198,0.391110212,0.345730394,1.137224436,1.360347033,1.353932738,1.597292304,0.616007924,0.65150696,0.648109138,0.696852565,0.662321031,0.627286851,0.580465913,0.534611523,1.168330908,1.117643714,1.093090177,1.000418544,24.11440277,41.43587494,56.17023087,65.39504242
id25,Co,Control,0,189.7778914,200.32,0.06989449,0.400727198,0.299719554,0.612896109,20.96166134,38.78787994,233.0035553,102.7876892,87.74279785,87.19641113,83.44200897,59.50403976,56.585186,58.12828445,58.31346893,31.82572174,30.13203049,29.97619057,29.56788445,0.832959354,0.684601903,0.64893961,0.645541489,0.637300193,0.412148297,0.344513357,0.319669932,0.292380422,1.312767148,1.724814057,1.773322821,1.869119525,0.646597803,0.714457631,0.71728003,0.733598411,0.599938095,0.527043581,0.490767807,0.455851614,1.123612761,0.988430023,0.953525543,0.898768961,21.65896797,33.79138565,45.91016388,55.30387497
id26,C24,Control,0,128.4104923,142.5792,0.108658828,0.482960458,0.253330721,0.612119483,14.27848101,39.56707382,234.720871,101.2845535,81.60874176,78.26693726,78.28387451,59.18353653,55.51707458,54.76707458,55.47682953,32.22966766,29.90451241,29.40447617,29.39785004,0.831080437,0.677339077,0.628820539,0.618220627,0.618197203,0.410240382,0.313011289,0.291708976,0.283912957,1.353017807,1.919888735,2.058450699,2.059736013,0.660260081,0.748208582,0.763152599,0.762877822,0.606192887,0.496989876,0.469733357,0.457603008,1.108151555,0.918036938,0.871929765,0.862279773,21.55870628,30.70152473,41.89448166,53.70225525
id27,Rsch,Control,0,135.5669598,115.9936,0.079311503,0.365197066,0.263812155,0.570625913,18.81792099,44.16770172,252.3423004,148.8964844,123.8264313,119.6397552,106.0714264,70.75466156,68.05838776,71.2844696,69.20248413,39.35159302,37.31287384,36.93556213,35.54963303,0.824417293,0.735014737,0.697290003,0.689786255,0.664185405,0.524049044,0.448704392,0.402904212,0.34633866,0.695050776,1.043903112,1.115423679,1.381991386,0.484030187,0.595697999,0.615780413,0.672778308,0.712935746,0.643525958,0.584111273,0.521172523,1.281547666,1.173624039,1.12337935,1.009104848,27.53951073,44.0109024,57.86405563,65.51010132
id28,Ler,Control,0,102.5936382,135.0912,0.161285773,0.620458554,0.224585062,0.513147679,8.678415767,47.92747116,272.3431091,115.1828461,104.9490204,111.0448685,103.9755783,68.66703033,65.26868439,68.13735962,68.8835144,38.61952591,37.36733627,38.07795334,37.1897049,0.823127687,0.664272428,0.64219147,0.65367049,0.638199866,0.401969522,0.375389516,0.383827657,0.337522328,1.357816458,1.602054834,1.476108313,1.655615449,0.669581175,0.710929215,0.688688517,0.716360509,0.604345739,0.583045542,0.58620894,0.529400527,1.062771916,1.008780122,1.039726734,0.967535794,21.12405968,36.81985474,55.12432861,63.84248352
id29,Col0,Control,0,116.5799124,96.832,0.089532625,0.402243845,0.27570264,0.810450118,14.47614012,47.9769249,272.1047058,120.8219376,99.90705109,100.2118912,102.1613235,70.71346283,66.31410217,67.05128479,69.99871826,39.26904297,36.74619293,36.73449326,37.01194382,0.823417842,0.674596429,0.631906688,0.631855726,0.636110425,0.413057804,0.336415768,0.329627723,0.313815922,1.254190564,1.723595977,1.727766156,1.674951792,0.648231208,0.729582965,0.728235662,0.721971869,0.612096012,0.531970799,0.520787537,0.493308365,1.102447987,0.956799448,0.94863236,0.929102361,21.70676613,32.99713898,47.34027481,59.35840988
id30,Can,Control,0,83.14738155,70.1696,0.127544493,0.345693026,0.524655145,0.753101677,18.14264867,35.2456131,208.0497131,117.9639359,98.07017517,98.17349243,86.13840485,58.87368393,55.4736824,58.45964813,57.49473572,31.1665535,29.55455017,29.53477287,28.3083992,0.830614328,0.735046744,0.697779834,0.697556317,0.669460833,0.49921912,0.433177978,0.404025704,0.33030358,0.769111872,1.126828074,1.131637931,1.434363127,0.509021819,0.614745557,0.613490462,0.674679637,0.679368377,0.621449649,0.580690384,0.494865537,1.287248611,1.165138006,1.143288612,0.995804369,26.23466301,42.48800278,58.02511978,62.4770546
id31,Rsch,Salt,0,119.734429,108.1984,0.094840232,0.351052785,0.248301246,0.682763926,15.8715249,36.0014801,214.9370422,112.8646088,91.19506073,92.66954803,90.41316986,57.21926117,53.80740738,55.9696312,57.86518478,31.21457672,29.24355698,29.37584686,29.19879723,0.832231402,0.721611142,0.677428484,0.680190444,0.67594707,0.488978207,0.407568842,0.393461019,0.360420018,0.91978097,1.373176455,1.343921661,1.386163592,0.555438936,0.66368705,0.657117128,0.66866529,0.677420557,0.600991547,0.578662336,0.533773005,1.243799448,1.104313374,1.098789096,1.050275207,25.69648933,39.97614288,56.50785065,68.17359161
id32,Cvi,Salt,0,83.34149405,42.4832,0.076860733,0.207619167,0.549578227,0.808678576,25.07743296,31.39999962,185.4977722,97.95555878,88.11555481,90.61333466,82.00222015,51.34799957,49.82400131,52.81000137,51.69200134,27.21297264,26.31298637,26.54854584,25.75358963,0.830646932,0.721273363,0.697842598,0.704058945,0.682918429,0.47356239,0.429296166,0.414784402,0.371325463,0.90011847,1.130729914,1.06826365,1.292622447,0.550457597,0.610838711,0.595246315,0.645564735,0.655375063,0.612861991,0.588311553,0.544505715,1.229264379,1.153336763,1.159800768,1.071219444,24.88636589,42.10725784,59.57025528,70.23636627
id33,Col0,Salt,0,158.6469248,164.1728,0.081968644,0.401993355,0.286062868,0.613341544,19.65148916,49.3325119,288.2194824,136.2640533,112.3575668,116.0715561,113.6401443,73.69423676,69.43868256,73.31028748,76.1419754,41.33462524,38.76465988,39.12259293,38.90970993,0.828409672,0.695872605,0.653460979,0.659038186,0.655124903,0.457028776,0.379585534,0.364748389,0.330516249,1.118413329,1.575369835,1.517541885,1.556751728,0.611062586,0.700456262,0.68750757,0.697122037,0.656532288,0.5798558,0.552595615,0.505293965,1.170791864,1.03499186,1.03226316,0.979702294,24.01750183,37.23141861,52.38421631,62.51728439
id34,Co,Salt,0,162.5645698,193.3056,0.09191841,0.4495178,0.213915327,0.622308821,18.42524169,41.4955101,247.2351532,120.576416,100.5374146,96.57142639,90.0739212,64.13959503,62.35428619,63.88489914,64.69591522,35.06821823,33.08059311,32.59181595,31.86107254,0.831474483,0.704007208,0.665348589,0.656043351,0.641593516,0.460965186,0.373587728,0.331614375,0.278792679,1.092672825,1.509408832,1.615251064,1.779428363,0.593784809,0.680632532,0.69792825,0.725792348,0.652754605,0.558429539,0.50284791,0.4338907,1.19156611,1.049196959,0.985343158,0.879248559,24.22436523,36.64312744,47.62559128,52.73374939
id35,C24,Salt,0,144.1265557,158.7072,0.096010444,0.421519633,0.287780975,0.750153623,14.22840552,38.57129288,232.6685333,106.8317413,90.06140137,88.60526276,84.07150269,58.94306183,55.85502243,57.59521484,58.7301445,32.03775406,30.26725388,30.00683212,29.55060768,0.833997488,0.69463557,0.657194436,0.651846468,0.641824722,0.440082252,0.370309085,0.339229792,0.296147734,1.224176288,1.649915338,1.723342657,1.834513545,0.62532717,0.701354563,0.707734823,0.728991449,0.631754994,0.560183227,0.51635766,0.460260034,1.16443646,1.035236716,0.991710603,0.912824273,23.12693787,36.32154465,48.71929932,56.01646805
id36,Ler,Salt,0,122.5567665,148.7872,0.124480363,0.464402717,0.164085355,0.659945921,13.10667584,35.38726044,215.4501038,95.78733063,91.72505188,98.85951996,85.9603653,52.21146393,50.76305771,55.77197266,54.01401138,29.33379364,28.90569496,29.61675262,28.33728409,0.835286498,0.693287432,0.684100866,0.699716628,0.670198977,0.454350233,0.445816249,0.434359998,0.371395051,1.250239134,1.353788376,1.181990623,1.503210902,0.640855312,0.65880549,0.625964582,0.689555824,0.655084193,0.650978267,0.620889127,0.554368615,1.164336205,1.141417742,1.16874814,1.054873586,23.87674141,43.72761917,62.38165283,70.24952698
id37,Te,Salt,0,164.1967315,187.008,0.087164779,0.415162968,0.391537299,0.809370395,14.81738535,40.0304184,231.7729187,111.4776077,90.67891693,92.44106293,87.47950745,59.55285263,56.31520844,58.42357254,58.71178818,33.64725113,31.41521072,31.58670807,31.07782745,0.827162564,0.696860135,0.651406884,0.654748976,0.643898785,0.462434769,0.375029176,0.362460941,0.327197015,1.092996001,1.580744624,1.547817349,1.659989476,0.602521479,0.699542224,0.691298127,0.715793312,0.662588716,0.573763371,0.551509738,0.507735431,1.174524069,1.027804971,1.019988537,0.957650125,24.30159378,36.78451157,52.05569458,61.88944626
id38,Nd,Salt,0,115.6814765,99.328,0.093272563,0.354726641,0.288962725,0.670051784,16.49716495,40.62269592,238.7919617,126.5516129,113.5319138,115.615448,101.7738342,62.08865356,61.80212784,66.46666718,65.53404236,35.27798843,34.16609192,34.35193634,33.03079224,0.829653621,0.720803022,0.698450148,0.701838493,0.675129056,0.507356465,0.453885615,0.423653483,0.354990035,0.889270008,1.107281804,1.07410419,1.348468184,0.550759673,0.610706389,0.601746798,0.664776862,0.703938723,0.649684608,0.6035375,0.525382638,1.241307735,1.17573905,1.164626122,1.036911368,26.66229248,44.51909637,60.8440094,67.14650726
id39,Col0,Salt,0,156.6492798,154.8032,0.079274405,0.359096173,0.269538462,0.795533721,15.08252026,42.44472504,252.6760406,116.5942307,96.46343231,97.72550201,97.99437714,63.39620209,60.66075897,63.15232086,65.65865326,35.42245102,33.24609756,33.34447098,33.44341278,0.831995726,0.695813954,0.655298471,0.65760833,0.658037782,0.455631047,0.371624202,0.353116155,0.330417812,1.170053959,1.61733675,1.593922377,1.582931399,0.623350322,0.705648065,0.699784338,0.701977968,0.654604316,0.565684617,0.535763144,0.502283573,1.173208833,1.029842615,1.01704812,0.984737933,23.94404793,36.45053864,50.71362305,62.49866104
id40,Can,Salt,0,83.19562407,89.1264,0.16181369,0.538306919,0.202516579,0.513384241,6.63622002,31.07551003,188.6439972,107.9098663,88.40135956,85.65986633,75.86450958,52.66632843,49.21326447,51.55816269,50.51530457,27.62395287,26.12283325,25.88211823,24.93366814,0.835019469,0.741631508,0.701700687,0.695362628,0.671238542,0.510290921,0.442579806,0.399300903,0.335871994,0.766926646,1.158711553,1.22409761,1.485638499,0.504835129,0.618718863,0.634389699,0.687348962,0.688347638,0.6315099,0.575076461,0.50067693,1.308955431,1.182610512,1.13190484,1.002613783,26.81650162,43.41017532,57.34655762,63.53032684
id41,Rsch,Control,0,122.1912832,120.0896,0.10107292,0.373412935,0.321533923,0.714530663,13.2170113,36.5425148,215.6513672,91.27445221,78.3383255,79.49035645,80.41017914,56.35329437,54.0766449,56.18742371,57.2622757,29.64165688,28.0734024,28.13240433,28.29548645,0.830100834,0.674335659,0.639570713,0.641209304,0.643885732,0.379497111,0.305112958,0.286431581,0.283350915,1.368352294,1.769586325,1.761866689,1.724897861,0.666495264,0.729216456,0.722369969,0.719907999,0.562028706,0.475081205,0.443937331,0.439725667,1.06388545,0.911688387,0.88293916,0.882778585,19.94310379,29.92682266,41.13655853,53.59593964
id42,C24,Control,0,116.8677507,129.984,0.119594275,0.462663447,0.228395695,0.689093302,12.60640079,42.22857285,251.8726807,111.17659,92.74603271,87.69642639,84.5241394,65.77202606,61.92202377,61.26250076,61.47440338,34.59986877,32.5414238,31.90784454,31.47443962,0.831683636,0.682500362,0.642879546,0.629908919,0.620899737,0.398718417,0.323171318,0.292866468,0.26599589,1.317466855,1.773311496,1.928792477,2.0408566,0.64547807,0.722071171,0.744655669,0.759172916,0.58120513,0.49842158,0.461710393,0.426519603,1.100319266,0.945089161,0.886564016,0.829404294,20.95321083,31.6980648,42.06072235,50.31323242
