LINE,ACCESSION,TREATMENT,DAY,PERIMETER,AREA,ROUNDNESS,COMPACTNESS, ECCENTRICITY,RMS,SOL
LN9,Co,Salt,0,126.4195082,105.4208,0.082891114,0.454500304,0.205738107,0.57274086,15.29893152
LN17,C24,Control,0,182.5504398,220.4672,0.083135801,0.436426291,0.221319467,0.474135338,20.67858802
LN13,Nd,Control,0,142.019104,116.928,0.072850888,0.344262295,0.438497217,0.747828789,18.92413793
LN11,Cvi,Control,0,84.86660824,65.5872,0.114434049,0.399656813,0.269737999,0.705462532,10.88563622
LN9,Co,Control,0,186.4131814,179.2512,0.064821444,0.4229027,0.191497841,0.460297578,23.30991145
LN12,Ler,Control,0,107.2865907,143.6544,0.156833165,0.607173772,0.338251986,0.748677725,7.489084915
LN16,Col0,Control,0,133.3336207,122.4832,0.086577899,0.36774144,0.266805809,0.628542718,13.37840945
LN14,Rsch,Control,0,145.694394,161.984,0.095895074,0.394876435,0.295141874,0.757480701,15.28581588
LN8,Can,Control,0,99.55168737,104.2304,0.132162126,0.57916074,0.311884439,0.592176229,9.531867862
LN15,Te,Control,0,241.3672589,281.6896,0.060760867,0.363499719,0.234214766,0.620315908,23.36065797
LN10,Col0,Control,0,216.9978739,245.8496,0.065609754,0.39424044,0.337029258,0.822894727,22.32196595
LN16,Col0,Salt,0,172.2488756,176.0384,0.074559757,0.328523995,0.198876881,0.688944833,17.40943794
LN13,Nd,Salt,0,153.287329,123.8144,0.066216849,0.406138473,0.252654532,0.664942881,23.34249974
LN12,Ler,Salt,0,96.25130072,115.3664,0.15648618,0.626250695,0.194431626,0.695030314,8.699434151
LN10,Col0,Salt,0,206.4445347,224.5888,0.066220305,0.364675562,0.228629285,0.67832868,17.5155591
LN17,C24,Salt,0,171.2045698,228.3776,0.097911265,0.436982611,0.273542098,0.531974373,13.96805291
LN8,Can,Salt,0,74.16739908,67.8528,0.155007081,0.556010069,0.311056511,0.726133166,7.500848896
LN11,Cvi,Salt,0,82.82072073,57.4336,0.105219902,0.283771819,0.361626354,0.725939778,12.58034321
LN14,Rsch,Salt,0,144.1171356,132.9536,0.080441234,0.397649401,0.267840028,0.696256418,16.08183306
LN9,Co,Salt,0,130.430879,130.1632,0.096147332,0.439626475,0.249461945,0.704986768,16.65473498
LN15,Te,Salt,0,194.3355364,210.6112,0.070078836,0.316015903,0.277908057,0.687183791,19.83906649
LN8,Can,Control,0,85.87209156,67.7376,0.11543449,0.459454766,0.18568147,0.606633696,14.81632653
LN10,Col0,Control,0,289.652338,354.304,0.053067893,0.381177961,0.286960104,0.323987879,27.77456647
LN17,C24,Control,0,180.2061515,203.3152,0.078675677,0.38599305,0.259441613,0.545422175,20.55099471
LN14,Rsch,Control,0,148.8489107,142.144,0.080620795,0.376555559,0.376311965,0.819102559,18.78955425
LN16,Col0,Control,0,94.98738155,95.0528,0.13238627,0.437183563,0.237331194,0.750678155,10.45219499
LN12,Ler,Control,0,95.07168737,125.2224,0.174096277,0.502233174,0.320330262,0.614939622,7.853623633
LN9,Co,Control,0,145.2900882,134.2208,0.079902011,0.435664132,0.211324944,0.438698305,20.3946214
LN11,Cvi,Control,0,81.4469949,56.832,0.107659578,0.425450364,0.195887216,0.454399902,12.41261261
LN13,Nd,Control,0,102.3607032,78.1568,0.093736798,0.407528532,0.216333234,0.700995267,13.76514903
LN15,Te,Control,0,148.4257648,160.1792,0.091368689,0.411292973,0.389456186,0.866462564,15.55761547
LN9,Co,Salt,0,181.6386823,206.5024,0.078653542,0.440178986,0.293088254,0.706385329,18.28004711
LN10,Col0,Salt,0,142.0351848,143.744,0.089538066,0.409525199,0.354902808,0.713179681,14.56740873
LN13,Nd,Salt,0,172.0347806,161.8048,0.0687019,0.314773774,0.237736063,0.563475167,22.36785064
LN11,Cvi,Salt,0,93.91757488,64.2304,0.091507513,0.382936508,0.223946785,0.536970462,15.15544041
LN14,Rsch,Salt,0,163.9704573,177.9328,0.083163864,0.392107638,0.35641467,0.774275263,14.73275304
LN15,Te,Salt,0,191.9923906,170.9184,0.058268072,0.319832335,0.287779671,0.712431435,21.74208043
LN12,Ler,Salt,0,78.66072073,87.9232,0.178565481,0.617604747,0.211245298,0.737015177,7.085747562
LN8,Can,Salt,0,79.22307573,75.6096,0.151385195,0.503795309,0.277487923,0.724785016,5.634332148
LN16,Col0,Salt,0,224.1155189,219.2768,0.054860364,0.285174457,0.385223725,0.733202971,31.81180316
LN17,C24,Salt,0,156.1994906,177.0368,0.091183065,0.397111602,0.170958422,0.652969555,16.13129926
LN12,Ler,Control,0,112.3356065,153.6256,0.152981384,0.548211757,0.268403171,0.568622793,6.732377937
LN11,Cvi,Control,0,118.1089282,56.064,0.050504315,0.247653511,0.32792887,0.710205229,41.09589041
LN8,Can,Control,0,102.1183482,107.4432,0.129473604,0.518372136,0.208447614,0.380505232,7.131045985
LN9,Co,Control,0,170.4680848,196.3776,0.084921107,0.456321942,0.368717443,0.723136259,19.2225264
LN14,Rsch,Control,0,126.0767665,134.016,0.105948885,0.377338091,0.272175269,0.614813667,12.913085
LN10,Col0,Control,0,133.3269598,126.6688,0.089545459,0.394923777,0.210082558,0.55660693,14.29991916
LN13,Nd,Control,0,132.1018632,104.2176,0.07504695,0.345541739,0.235199546,0.653708541,16.09825596
LN15,Te,Control,0,168.2308439,177.344,0.078743573,0.371039876,0.302358695,0.766388559,20.29953086
LN16,Col0,Control,0,183.6230056,229.696,0.085606967,0.370994418,0.345487328,0.545740183,21.57704096
LN17,C24,Control,0,154.6155715,155.7504,0.081871467,0.444525627,0.298254406,0.82223518,17.57544379
LN8,Can,Salt,0,105.3410899,104.3456,0.118164872,0.488260661,0.504580267,0.861734107,8.67124632
LN15,Te,Salt,0,196.4751498,255.2064,0.083078026,0.388148033,0.345246405,0.824128804,14.94593239
LN12,Ler,Salt,0,94.50933237,97.4464,0.13709647,0.458448753,0.242857143,0.736787296,15.64061474
LN14,Rsch,Salt,0,120.1803165,91.0848,0.079248141,0.292670889,0.307874314,0.808797307,25.1267566
LN11,Cvi,Salt,0,70.61523741,45.888,0.115641082,0.402041045,0.403195234,0.840809567,9.428172943
LN13,Nd,Salt,0,94.79992989,67.4048,0.094250716,0.331507712,0.337045721,0.810312993,14.14698063
LN10,Col0,Salt,0,129.9328473,115.7248,0.086138716,0.393943355,0.315194346,0.777825163,14.27187258
LN9,Co,Salt,0,154.9422323,165.5424,0.08665218,0.470000363,0.205715674,0.606639848,17.8767494
LN16,Col0,Salt,0,154.402619,144.192,0.07600492,0.346946318,0.35361105,0.712931545,19.10057701
LN17,C24,Salt,0,166.4822148,185.3952,0.084056763,0.423335477,0.173462112,0.66333887,14.94628556
LN13,Nd,Control,0,88.99444656,74.9568,0.118931005,0.457035823,0.36700275,0.67495559,17.28995902
LN14,Rsch,Control,0,151.7316698,108.4672,0.05920465,0.289511445,0.279853366,0.650777413,31.44323814
LN10,Col0,Control,0,154.741459,147.904,0.077620495,0.369594422,0.329551431,0.819534939,18.39480744
LN12,Ler,Control,0,124.3830407,159.7056,0.129720218,0.513287806,0.194546927,0.529804123,12.03430312
LN16,Col0,Control,0,126.3257823,110.9888,0.087398711,0.40076724,0.379432232,0.767241886,15.71237458
LN8,Can,Control,0,57.20073826,44.4672,0.170783685,0.537604457,0.312588402,0.591300805,8.152561888
LN15,Te,Control,0,209.5602289,243.7504,0.069748918,0.400290081,0.274975752,0.638002157,18.88105866
LN11,Cvi,Control,0,81.99326906,51.4688,0.096204969,0.363365263,0.57898482,0.939249669,14.03829893
LN17,C24,Control,0,175.6457473,229.6192,0.093528245,0.438520583,0.384237619,0.803525752,14.3688054
LN9,Co,Control,0,172.6559406,163.8784,0.069082577,0.389208086,0.208870912,0.638388385,21.96750762
LN17,C24,Salt,0,182.4045698,209.3824,0.079082176,0.442814217,0.386827763,0.812047434,18.31140726
LN16,Col0,Salt,0,185.8120039,107.7888,0.039231595,0.271181528,0.550736565,0.872537255,48.95285596
LN11,Cvi,Salt,0,107.4030582,80.5632,0.087763367,0.420609463,0.296273388,0.761796647,18.91833492
LN15,Te,Salt,0,183.2841656,245.3888,0.091794087,0.38990807,0.399348727,0.837773923,14.05132753
LN14,Rsch,Salt,0,103.569719,86.8224,0.101712904,0.308108108,0.315018315,0.652613652,17.26787557
LN9,Co,Salt,0,112.3261865,92.288,0.091916413,0.423992943,0.673838478,0.914214409,18.46435506
LN12,Ler,Salt,0,106.692074,143.5008,0.158416302,0.620077434,0.160849226,0.570394443,10.10507537
LN13,Nd,Salt,0,161.0061515,136.6272,0.066231119,0.310002323,0.30082766,0.698665998,20.28124414
LN10,Col0,Salt,0,149.0657648,141.2096,0.079857969,0.409001594,0.38658147,0.799796611,17.30982596
LN8,Can,Salt,0,111.327364,122.4576,0.124162874,0.691257225,0.518859246,0.889745175,13.275635
LN9,Co,Control,0,136.1747982,117.7344,0.079784726,0.419904131,0.341413926,0.704762056,19.30941509
LN8,Can,Control,0,139.1097015,148.0448,0.096136473,0.47395812,0.302857685,0.729844166,10.98115165
LN17,C24,Control,0,148.2155715,150.528,0.086107204,0.448409975,0.234322868,0.701292554,15.40833333
